Run, Fill, LumiDel, LumiRec, TimeDel, TimeRec,Delivered (pb),Recorded (pb),Tag,Year,NEvents,NTracks,Eff_BCID0
15723,9832,161.239,157.073,8652.0,8406.297,161.239,157.073,p0011,2024,1710970,1692195.0,-1
15749,9838,180.0,175.26,9522.0,9096.25,180.0,175.26,p0011,2024,1912440,1892171.0,-1
15751,9840,724.624,707.049,40172.0,39182.331,724.624,707.049,p0011,2024,7832818,7771611.0,-1
15754,9842,933.833,912.283,53025.0,51799.602,933.833,912.283,p0011,2024,10080542,10008515.0,-1
15755,9843,301.184,293.791,16515.0,16029.832,301.184,293.791,p0011,2024,3207995,3179580.0,-1
15758,9846,161.584,157.42,8672.0,8203.186,161.584,157.42,p0011,2024,1729276,1711597.0,-1
15762,9848,331.436,322.96,17179.0,16565.294,331.436,322.96,p0011,2024,3509549,3477490.0,-1
15763,9849,965.149,942.861,54988.0,53723.271,965.149,942.861,p0011,2024,10376459,10293845.0,-1
15765,9851,23.796,23.273,2020.0,1683.803,23.796,23.273,p0011,2024,259490,255384.0,-1
15766,9852,781.694,763.094,42373.0,41294.924,781.694,763.094,p0011,2024,8359033,8294457.0,-1
15782,9857,162.493,158.493,8791.0,8481.58,162.493,158.493,p0011,2024,1715981,1700321.0,-1
15784,9859,48.669,47.603,3124.0,3008.981,48.669,47.603,p0011,2024,522185,516378.0,-1
15785,9860,586.968,571.889,30026.0,28972.116,586.968,571.889,p0011,2024,6315732,6267387.0,-1
15786,9861,844.583,825.635,49970.0,48837.519,844.583,825.635,p0011,2024,9143287,9078687.0,-1
15787,9862,318.332,310.308,16990.0,16188.268,318.332,310.308,p0011,2024,3394314,3366105.0,-1
15789,9864,273.715,266.814,14442.0,14050.667,273.715,266.814,p0011,2024,2921165,2895958.0,-1
15790,9865,213.867,208.52,11504.0,11000.296,213.867,208.52,p0011,2024,2270653,2250214.0,-1
15814,9867,23.909,23.464,2087.0,1790.334,23.909,23.464,p0011,2024,169649,167134.0,-1
15816,9869,347.625,338.808,17822.0,17303.272,347.625,338.808,p0011,2024,3637854,3608213.0,-1
15818,9871,191.205,186.353,10052.0,9645.184,191.205,186.353,p0011,2024,2023278,2004818.0,-1
15820,9873,391.758,381.834,20159.0,19485.379,391.758,381.834,p0011,2024,4162890,4129054.0,-1
15838,9877,879.024,860.151,53587.0,52447.279,879.024,860.151,p0011,2024,9600983,9531170.0,-1
15839,9878,735.851,717.683,38538.0,37332.496,735.851,717.683,p0011,2024,7982065,7927005.0,-1
15840,9879,213.817,208.403,11283.0,10823.42,213.817,208.403,p0011,2024,2300591,2280926.0,-1
15844,9883,259.165,252.57,13414.0,12901.551,259.165,252.57,p0011,2024,2775910,2751649.0,-1
15849,9885,34.119,33.416,2154.0,2106.021,34.119,33.416,p0011,2024,374415,369832.0,-1
15850,9886,342.514,334.808,17497.0,17042.404,342.514,334.808,p0011,2024,3682773,3654220.0,-1
15868,9891,7.432,7.4,3238.0,2608.271,7.432,7.4,p0011,2024,83883,83294.0,-1
15873,9895,39.194,39.021,12821.0,12715.168,39.194,39.021,p0011,2024,440509,437516.0,-1
15874,9896,862.922,845.268,48792.0,47793.041,862.922,845.268,p0011,2024,9398498,9334740.0,-1
15877,9899,875.483,857.36,48623.0,47592.24,875.483,857.36,p0011,2024,9508626,9447938.0,-1
15878,9900,878.433,860.484,49951.0,48926.539,878.433,860.484,p0011,2024,9587858,9526194.0,-1
15882,9904,42.568,41.676,2719.0,2539.673,42.568,41.676,p0011,2024,462976,457381.0,-1
